Source;ID;PEMEASURED;REPLICATES;PEF;PE occurrence;PE TYPE;Objective was evaluate PE;EXPERIMENT;ECOSYSTEM;POC;LOM;NUTRIENT;TEMP;TIME;pH;DOCI;DOCP;DOCIDOCP;RMRT
Bianchi et al. (2015);Bianchi_4;CO2;4;74.22;yes;positive;yes;Lab;Culture medium;none;Diatom;none;27;1;NA;1;0.19824;5.04;621.985
Bianchi et al. (2015);Bianchi_5;CO2;4;2.53;yes;positive;yes;Lab;Culture medium;none;Diatom;none;27;3;NA;1;0.19824;5.04;621.985
Bianchi et al. (2015);Bianchi_6;CO2;4;1.54;yes;positive;yes;Lab;Culture medium;none;Diatom;none;27;12.5;NA;1;0.19824;5.04;621.985
Bianchi et al. (2015);Bianchi_1;CO2;4;30.92;yes;positive;yes;Lab;Culture medium;none;Other;none;27;1;NA;0.94512;0.25488;3.71;621.985
Bianchi et al. (2015);Bianchi_2;CO2;4;7.62;yes;positive;yes;Lab;Culture medium;none;Other;none;27;3;NA;0.94512;0.25488;3.71;621.985
Bianchi et al. (2015);Bianchi_3;CO2;4;4.09;yes;positive;yes;Lab;Culture medium;none;Other;none;27;12.5;NA;0.94512;0.25488;3.71;621.985
Blanchet et al. (2015);Blanchet et al. (2015)_1;DOC degradation;3;1.39;no;not;no;Lab;Lagoon;none;Other;none;18;1;NA;6.88;3.02;2.27;330.154
Blanchet et al. (2015);Blanchet et al. (2015)_2;DOC degradation;3;0.44;no;not;no;Lab;Lagoon;none;Other;none;18;2;NA;6.88;3.02;2.27;330.154
Blanchet et al. (2015);Blanchet et al. (2015)_3;DOC degradation;3;0.17;no;not;no;Lab;Lagoon;none;Other;none;18;4;NA;6.88;3.02;2.27;330.154
Blanchet et al. (2016);Blanchet et al. 2016_1;Bacterial Production;3;1.79;no;not;yes;Lab;Marine/Sea;none;Other;NP;18;6;NA;0.18;0.108;1.66;555.369
Blanchet et al. (2016);Blanchet et al. 2016_2;Bacterial Production;3;1.14;no;not;yes;Lab;Marine/Sea;none;Other;NP;18;42;NA;0.18;0.108;1.66;555.369
Carlson et al. (2002);Carlson_1;Bacterial Production;NA;3.33;yes;positive;no;Lab;Marine/Sea;none;Glucose;none;27;2;NA;0.8268;0.12;6.89;455.552
